"COMID","Longitude","Latitude","dataset_source"
6203322,-74.54846,41.2601,"Caravan_PFAS"
6248392,-73.98915,40.9988,"Caravan_PFAS"
6249998,-74.34709,40.84469,"Caravan_PFAS"
6251110,-74.27277,40.89725,"Caravan_PFAS"
6246362,-74.40141,41.01824,"Caravan_PFAS"
6250676,-74.22558,40.88442,"Caravan_PFAS"
6250666,-74.08083,40.89035,"Caravan_PFAS"
9513836,-74.86795,40.57223,"Caravan_PFAS"
9513840,-74.67826,40.57079,"Caravan_PFAS"
9514706,-74.57587,40.47497,"Caravan_PFAS"
9442083,-74.1548,40.16113,"Caravan_PFAS"
9441123,-74.168,40.21242,"Caravan_PFAS"
9485398,-75.07673,39.49564,"Caravan_PFAS"
2590277,-74.78002,40.22001,"Caravan_PFAS"
4494690,-75.02177,39.90279,"Caravan_PFAS"
4495818,-75.25919,39.74053,"Caravan_PFAS"
9480708,-75.3303,39.6437,"Caravan_PFAS"
3986398,-84.09025,39.79766,"Caravan_PFAS"
4153168,-75.03759,41.08833,"Caravan_PFAS"
4782187,-75.20624,40.01527,"Caravan_PFAS"
4652046,-75.59355,39.86966,"Caravan_PFAS"
2603121,-76.08667,41.18874,"Caravan_PFAS"
8153799,-76.87835,40.96717,"Caravan_PFAS"
4710000,-76.88472,40.25567,"Caravan_PFAS"
3821215,-80.20634,40.55133,"Caravan_PFAS"
7710210,-73.35489,42.23181,"Caravan_PFAS"
21633937,-77.51178,43.14487,"Caravan_PFAS"
3176490,-109.02668,39.13254,"Caravan_PFAS"
6746076,-71.17729,42.69353,"Caravan_PFAS"
10295286,-72.63273,42.52663,"Caravan_PFAS"
7690589,-72.31865,42.2047,"Caravan_PFAS"
7692457,-72.51397,42.16068,"Caravan_PFAS"
6097601,-72.63642,42.09996,"Caravan_PFAS"
6203170,-74.62966,41.04027,"Caravan_PFAS"
6203376,-74.57516,41.19383,"Caravan_PFAS"
6203098,-74.67529,41.16255,"Caravan_PFAS"
6203060,-74.64133,41.18233,"Caravan_PFAS"
6202934,-74.56326,41.236,"Caravan_PFAS"
6203096,-74.41957,41.18676,"Caravan_PFAS"
6203096,-74.42135,41.16216,"Caravan_PFAS"
6247902,-73.96033,40.97356,"Caravan_PFAS"
6249408,-74.00806,40.98969,"Caravan_PFAS"
6249726,-74.03907,40.91178,"Caravan_PFAS"
6250820,-74.54909,40.74153,"Caravan_PFAS"
6250820,-74.55322,40.76356,"Caravan_PFAS"
6250418,-74.52368,40.65389,"Caravan_PFAS"
6250368,-74.43976,40.68952,"Caravan_PFAS"
6250652,-74.50143,40.90217,"Caravan_PFAS"
6249774,-74.46267,40.90356,"Caravan_PFAS"
6249606,-74.41225,40.95073,"Caravan_PFAS"
6250702,-74.39533,40.85333,"Caravan_PFAS"
6245966,-74.44181,41.04796,"Caravan_PFAS"
6246322,-74.16302,41.09827,"Caravan_PFAS"
6250932,-74.27622,40.99522,"Caravan_PFAS"
6249470,-74.28223,40.96979,"Caravan_PFAS"
6249662,-74.29122,40.92656,"Caravan_PFAS"
6249528,-74.21889,40.95289,"Caravan_PFAS"
6251048,-74.18367,40.91222,"Caravan_PFAS"
6261518,-74.23876,40.69395,"Caravan_PFAS"
6261526,-74.31174,40.68749,"Caravan_PFAS"
6261548,-74.28165,40.62219,"Caravan_PFAS"
9513920,-74.74344,40.87378,"Caravan_PFAS"
9512946,-74.96887,40.64821,"Caravan_PFAS"
9513224,-74.86063,40.59004,"Caravan_PFAS"
9515526,-74.82774,40.47334,"Caravan_PFAS"
9513510,-74.70512,40.526,"Caravan_PFAS"
9513394,-74.69677,40.54724,"Caravan_PFAS"
9512896,-74.79614,40.67743,"Caravan_PFAS"
9513068,-74.77241,40.62021,"Caravan_PFAS"
9513022,-74.68607,40.63426,"Caravan_PFAS"
9513352,-74.63576,40.56473,"Caravan_PFAS"
9515628,-74.588,40.31378,"Caravan_PFAS"
9514992,-74.80467,40.38211,"Caravan_PFAS"
9515108,-74.71796,40.35231,"Caravan_PFAS"
9515564,-74.61953,40.37076,"Caravan_PFAS"
9513832,-74.49941,40.58071,"Caravan_PFAS"
9512914,-74.42011,40.65767,"Caravan_PFAS"
9515656,-74.39805,40.29509,"Caravan_PFAS"
6262714,-74.14786,40.38453,"Caravan_PFAS"
6262928,-74.06925,40.19792,"Caravan_PFAS"
6263234,-74.09169,40.24336,"Caravan_PFAS"
6262926,-74.06583,40.20333,"Caravan_PFAS"
9442071,-74.25344,40.20713,"Caravan_PFAS"
9442119,-74.21919,40.10979,"Caravan_PFAS"
9453743,-74.21827,39.97639,"Caravan_PFAS"
9454535,-74.67922,39.66311,"Caravan_PFAS"
9454123,-74.71651,39.77301,"Caravan_PFAS"
9446603,-74.87522,39.70989,"Caravan_PFAS"
9454637,-74.71623,39.63004,"Caravan_PFAS"
9447041,-74.66649,39.7094,"Caravan_PFAS"
9447787,-74.54085,39.67497,"Caravan_PFAS"
9434169,-74.97778,39.65122,"Caravan_PFAS"
9434111,-74.77964,39.51388,"Caravan_PFAS"
9436617,-74.69037,39.47041,"Caravan_PFAS"
9436633,-74.66431,39.42548,"Caravan_PFAS"
9483520,-74.89639,39.0275,"Caravan_PFAS"
9483472,-74.91139,39.26,"Caravan_PFAS"
9481698,-75.10427,39.62031,"Caravan_PFAS"
9482012,-75.083,39.59667,"Caravan_PFAS"
9481742,-75.06079,39.59054,"Caravan_PFAS"
9479154,-74.98978,39.52111,"Caravan_PFAS"
9483432,-74.96591,39.41915,"Caravan_PFAS"
9484462,-75.2555,39.4725,"Caravan_PFAS"
4151294,-74.80367,41.20667,"Caravan_PFAS"
2583317,-74.68782,41.06662,"Caravan_PFAS"
2583353,-74.87867,41.07511,"Caravan_PFAS"
2586771,-74.95329,40.98089,"Caravan_PFAS"
932040221,-74.84921,40.97528,"Caravan_PFAS"
2587861,-75.07803,40.83035,"Caravan_PFAS"
2586223,-74.7188,40.92645,"Caravan_PFAS"
2588261,-75.18619,40.59266,"Caravan_PFAS"
2588101,-75.09378,40.58333,"Caravan_PFAS"
2588127,-75.02722,40.55656,"Caravan_PFAS"
2588141,-75.04587,40.54405,"Caravan_PFAS"
9514052,-74.46403,40.50857,"Caravan_PFAS"
2591115,-75.02131,40.47109,"Caravan_PFAS"
2590217,-74.94664,40.35575,"Caravan_PFAS"
2593559,-74.71733,40.25322,"Caravan_PFAS"
2590137,-74.76862,40.21737,"Caravan_PFAS"
4481245,-74.54112,40.08523,"Caravan_PFAS"
4481055,-74.61787,40.13606,"Caravan_PFAS"
4481599,-74.67708,40.16719,"Caravan_PFAS"
4480899,-74.59896,40.17756,"Caravan_PFAS"
4481155,-74.64111,40.10988,"Caravan_PFAS"
4490920,-74.75167,39.93778,"Caravan_PFAS"
4491262,-74.77267,39.90167,"Caravan_PFAS"
4491884,-74.82022,39.97289,"Caravan_PFAS"
4499256,-74.50542,39.88528,"Caravan_PFAS"
4491946,-74.62781,39.95729,"Caravan_PFAS"
4491878,-74.78095,39.99232,"Caravan_PFAS"
4494968,-75.06651,39.83389,"Caravan_PFAS"
943030230,-106.54113,31.80263,"Caravan_PFAS"
4188251,-75.23673,40.66938,"Caravan_PFAS"
4482885,-75.11939,40.2296,"Caravan_PFAS"
4782153,-75.60189,40.15196,"Caravan_PFAS"
4782629,-75.19732,40.00858,"Caravan_PFAS"
904040050,-87.96859,43.00662,"Caravan_PFAS"
6076069,-71.74688,42.54132,"Caravan_PFAS"
6772971,-71.63806,42.27954,"Caravan_PFAS"
6772355,-71.48667,42.36444,"Caravan_PFAS"
6746184,-71.29825,42.64638,"Caravan_PFAS"
5867585,-71.36199,42.13301,"Caravan_PFAS"
6126427,-70.97289,41.99689,"Caravan_PFAS"
6115786,-71.78167,42.20784,"Caravan_PFAS"
11947179,-89.31706,46.86745,"Caravan_PFAS"
12186641,-85.2696,46.57423,"Caravan_PFAS"
1777616,-92.41876,46.70327,"Caravan_PFAS"
17819084,-106.64339,35.19762,"Caravan_PFAS"
943020235,-106.8545,34.41022,"Caravan_PFAS"
17813236,-106.9969,33.67893,"Caravan_PFAS"
20818412,-104.52507,34.72997,"Caravan_PFAS"
20784350,-104.32378,32.84087,"Caravan_PFAS"
21972746,-76.50578,43.45152,"Caravan_PFAS"
2741462,-74.99158,41.48615,"Caravan_PFAS"
4153318,-75.20921,41.03613,"Caravan_PFAS"
4154488,-75.14314,40.99849,"Caravan_PFAS"
4185779,-75.60547,41.08478,"Caravan_PFAS"
4187957,-75.61212,40.79342,"Caravan_PFAS"
4188007,-75.4618,40.602,"Caravan_PFAS"
4483015,-75.05382,40.24007,"Caravan_PFAS"
4480911,-74.95765,40.17414,"Caravan_PFAS"
4779167,-75.99771,40.52237,"Caravan_PFAS"
4782017,-75.97896,40.36881,"Caravan_PFAS"
4782403,-75.77156,40.25844,"Caravan_PFAS"
4780673,-75.73488,40.40941,"Caravan_PFAS"
4782441,-75.65153,40.24184,"Caravan_PFAS"
4781431,-75.61908,40.20089,"Caravan_PFAS"
4781795,-75.5276,40.10915,"Caravan_PFAS"
4781635,-75.45594,40.15316,"Caravan_PFAS"
4782171,-75.45661,40.08155,"Caravan_PFAS"
4782163,-75.22019,40.1242,"Caravan_PFAS"
4494460,-75.43641,39.9766,"Caravan_PFAS"
4494612,-75.56456,39.92722,"Caravan_PFAS"
4651038,-75.78091,39.82837,"Caravan_PFAS"
4651254,-75.77075,39.74745,"Caravan_PFAS"
4651080,-75.70489,39.81105,"Caravan_PFAS"
4651058,-75.69096,39.81952,"Caravan_PFAS"
4651090,-75.69156,39.81679,"Caravan_PFAS"
4648694,-75.86089,40.07263,"Caravan_PFAS"
4651854,-75.82273,39.92977,"Caravan_PFAS"
4648470,-75.77889,40.09624,"Caravan_PFAS"
4650548,-75.67341,39.96861,"Caravan_PFAS"
4763058,-75.849,39.73011,"Caravan_PFAS"
8111755,-77.11467,41.95285,"Caravan_PFAS"
4199074,-76.50253,41.78119,"Caravan_PFAS"
4199356,-76.44054,41.76535,"Caravan_PFAS"
4200472,-75.85383,41.46171,"Caravan_PFAS"
2600273,-75.74545,41.35825,"Caravan_PFAS"
2602769,-76.22103,41.04705,"Caravan_PFAS"
2604187,-76.47541,40.99339,"Caravan_PFAS"
2604977,-76.62094,40.95675,"Caravan_PFAS"
4674911,-78.40619,40.9718,"Caravan_PFAS"
4672391,-78.10857,41.11777,"Caravan_PFAS"
8127529,-78.19683,41.41334,"Caravan_PFAS"
8140160,-77.79397,40.88991,"Caravan_PFAS"
8141516,-77.74234,40.9748,"Caravan_PFAS"
8139224,-77.70222,41.11173,"Caravan_PFAS"
8139392,-77.59206,41.07472,"Caravan_PFAS"
8139706,-77.43554,41.12479,"Caravan_PFAS"
8152471,-76.99762,41.23735,"Caravan_PFAS"
8153625,-76.8,40.975,"Caravan_PFAS"
4518742,-76.80544,40.85389,"Caravan_PFAS"
4517636,-76.86948,40.77503,"Caravan_PFAS"
4518306,-76.91189,40.61102,"Caravan_PFAS"
4683890,-78.36401,40.43098,"Caravan_PFAS"
4683708,-78.18669,40.47216,"Caravan_PFAS"
4682638,-78.14056,40.61256,"Caravan_PFAS"
4699925,-77.12851,40.47874,"Caravan_PFAS"
4712048,-77.02113,40.25224,"Caravan_PFAS"
4709060,-76.56189,40.34255,"Caravan_PFAS"
4709260,-76.66777,40.29842,"Caravan_PFAS"
4709872,-76.56781,40.1955,"Caravan_PFAS"
4709644,-76.68783,40.1494,"Caravan_PFAS"
4722109,-76.71823,40.08131,"Caravan_PFAS"
4721533,-76.65436,40.05167,"Caravan_PFAS"
4721493,-76.51579,40.06302,"Caravan_PFAS"
4722265,-76.5159,40.02912,"Caravan_PFAS"
4724385,-76.26362,39.99604,"Caravan_PFAS"
4724553,-76.36805,39.94647,"Caravan_PFAS"
4721931,-76.16198,40.00899,"Caravan_PFAS"
4724801,-76.32832,39.90593,"Caravan_PFAS"
4726191,-76.3161,39.77245,"Caravan_PFAS"
8430966,-78.34612,39.73216,"Caravan_PFAS"
8971114,-78.62471,41.97702,"Caravan_PFAS"
15445645,-79.13362,41.93841,"Caravan_PFAS"
10220190,-79.40629,41.57084,"Caravan_PFAS"
10220060,-79.04967,41.60184,"Caravan_PFAS"
9052735,-80.14991,41.5894,"Caravan_PFAS"
9053513,-79.83147,41.40164,"Caravan_PFAS"
10222268,-79.8412,41.26419,"Caravan_PFAS"
6877193,-79.20918,41.33059,"Caravan_PFAS"
6877295,-79.47293,41.17053,"Caravan_PFAS"
6877337,-79.5544,41.12994,"Caravan_PFAS"
4741683,-79.39408,40.99486,"Caravan_PFAS"
166808422,-79.29177,40.9272,"Caravan_PFAS"
4742165,-79.53131,40.82041,"Caravan_PFAS"
4753408,-78.81723,40.14831,"Caravan_PFAS"
4754924,-79.39088,40.4545,"Caravan_PFAS"
11050052,-79.84726,40.52757,"Caravan_PFAS"
3787957,-79.9704,39.75912,"Caravan_PFAS"
3789063,-80.11724,39.80145,"Caravan_PFAS"
3788379,-80.04144,39.97507,"Caravan_PFAS"
3788899,-80.33013,39.85391,"Caravan_PFAS"
3789647,-80.07276,39.92306,"Caravan_PFAS"
3785567,-79.90065,40.06507,"Caravan_PFAS"
3809037,-79.36492,39.80574,"Caravan_PFAS"
3808779,-79.10012,39.73225,"Caravan_PFAS"
3806147,-79.80592,40.23959,"Caravan_PFAS"
13153971,-80.44058,41.01845,"Caravan_PFAS"
12997122,-80.46026,41.49746,"Caravan_PFAS"
12998878,-80.37556,41.42222,"Caravan_PFAS"
12999814,-80.35056,41.00012,"Caravan_PFAS"
19464300,-80.33622,40.8893,"Caravan_PFAS"
10925137,-79.96472,40.80629,"Caravan_PFAS"
10926401,-80.24237,40.81693,"Caravan_PFAS"
3821167,-80.58999,40.61938,"Caravan_PFAS"
19453759,-80.4477,39.96796,"Caravan_PFAS"
19454253,-80.42919,39.87793,"Caravan_PFAS"
1813331,-90.68693,46.60999,"Caravan_PFAS"
17543645,-92.18199,41.74926,"Caravan_PFAS"
6076057,-71.60967,42.5785,"Caravan_PFAS"
6772919,-71.61706,42.3421,"Caravan_PFAS"
6772217,-71.44996,42.43214,"Caravan_PFAS"
5867575,-71.38945,42.13978,"Caravan_PFAS"
6772971,-71.63866,42.28333,"Caravan_PFAS"
1777788,-92.28399,46.65882,"Caravan_PFAS"
15568135,-79.0473,43.16211,"Caravan_PFAS"
15559671,-78.83286,43.30882,"Caravan_PFAS"
15559629,-78.71582,43.31394,"Caravan_PFAS"
15558039,-77.91553,43.3394,"Caravan_PFAS"
15537883,-77.61544,43.14138,"Caravan_PFAS"
21634091,-77.53392,43.23489,"Caravan_PFAS"
3986388,-84.08894,39.80115,"Caravan_PFAS"
3986384,-84.0732,39.81544,"Caravan_PFAS"
4482891,-75.14422,40.22356,"Caravan_PFAS"
4781877,-75.46096,40.07931,"Caravan_PFAS"
4494488,-75.48296,39.96687,"Caravan_PFAS"
4651888,-75.76904,39.74913,"Caravan_PFAS"
4650580,-75.80135,39.96175,"Caravan_PFAS"
4763608,-75.92022,39.76269,"Caravan_PFAS"
4723739,-75.99164,39.88289,"Caravan_PFAS"
9840538,-80.235,42.07382,"Caravan_PFAS"
1797113,-90.83141,46.92358,"Caravan_PFAS"
12169257,-87.89164,42.90451,"Caravan_PFAS"
19442947,-81.76103,38.94101,"Caravan_PFAS"
433830,-82.59842,38.11645,"Caravan_PFAS"
6076069,-71.73726,42.52577,"Caravan_PFAS"
3986384,-84.08531,39.80875,"Caravan_PFAS"
3369838,-82.20501,38.80306,"Caravan_PFAS"
19440335,-81.56377,39.28898,"Caravan_PFAS"
19455261,-80.7558,39.9206,"Caravan_PFAS"
4726273,-76.11453,39.70713,"Caravan_PFAS"
11916299,-91.54969,41.69477,"Caravan_PFAS"
14771800,-88.28959,42.10833,"Caravan_PFAS"
14835417,-88.98682,41.32143,"Caravan_PFAS"
6078701,-71.8176,42.44707,"Caravan_PFAS"
6772919,-71.6141,42.34512,"Caravan_PFAS"
6772879,-71.54617,42.40003,"Caravan_PFAS"
6772197,-71.3899,42.45657,"Caravan_PFAS"
6772173,-71.39124,42.46555,"Caravan_PFAS"
6771071,-71.29745,42.62807,"Caravan_PFAS"
6746076,-71.15303,42.70444,"Caravan_PFAS"
6745920,-71.08672,42.77023,"Caravan_PFAS"
6096309,-72.87011,42.22585,"Caravan_PFAS"
6107147,-73.07287,42.07887,"Caravan_PFAS"
7710172,-73.24047,42.3941,"Caravan_PFAS"
6771367,-71.31378,42.50908,"Caravan_PFAS"
8450394,-77.41043,39.36168,"Caravan_PFAS"
904010101,-92.11177,46.74629,"Caravan_PFAS"
17808622,-106.68707,34.98347,"Caravan_PFAS"
6241445,-73.87644,40.84339,"Caravan_PFAS"
6241853,-73.86172,40.89802,"Caravan_PFAS"
6241853,-73.85583,40.90684,"Caravan_PFAS"
6241853,-73.83731,40.93821,"Caravan_PFAS"
6240361,-73.77702,41.03724,"Caravan_PFAS"
6240353,-73.77347,41.0666,"Caravan_PFAS"
2616860,-75.27199,41.80679,"Caravan_PFAS"
4709222,-76.85556,40.3061,"Caravan_PFAS"
1798025,-91.60322,46.70483,"Caravan_PFAS"
1799017,-91.48663,46.76271,"Caravan_PFAS"
4352966,-79.87597,38.92088,"Caravan_PFAS"
